zomsfglo,
zotemglo,
zosrfglo,
zosalglo,
zomsfatl,
zotematl,
zosrfatl,
zosalatl,
zomsfpac,
zotempac,
zosrfpac,
zosalpac,
zomsfind,
zotemind,
zosrfind,
zosalind,
zomsfipc,
zotemipc,
zosrfipc,
zosalipc,
sophtadv,
sopstadv,
sophtldf,
sopstldf,
sophtadv_atl,
sopstadv_atl,
sophtldf_atl,
sopstldf_atl,
sophtadv_pac,
sopstadv_pac,
sophtldf_pac,
sopstldf_pac,
sophtadv_ind,
sopstadv_ind,
sophtldf_ind,
sopstldf_ind,
sophtadv_ipc,
sopstadv_ipc,
sophtldf_ipc,
sopstldf_ipc,
tos,area:mean where sea
e3ti,area:mean where sea
votemper,
vosaline,
opottempadvect,
opottemppmdiff,
opottempdiff,
ttrd_evd,
ttrd_qns,
rsdoabsorb,
ttrd_bbl,
opottemptend,
osaltadvect,
osaltpmdiff,
osaltdiff,
strd_evd,
osalttend,
strd_bbl,
sossheig,
zossq,area:mean where sea
sowaflup,
sosafldo,
sohefldo,
soshfldo,
somixhgt,
somxl010,
sokaraml,
somlddbm,
soicecov,
sowindsp,
sohflisf,
soqlatisf,
sowflisf,
berg_total_melt,
berg_total_heat_flux,
sorunoff,
hfrainds,area:mean where ice_free sea over sea
hfevapds,area:mean where ice_free sea over sea
evap_ao_cea,
pr,area:mean,
snowpre,
snow_ao_cea,area:mean where sea
snow_ai_cea,area:mean where sea_ice
e3u,area:mean where sea,
vozocrtx,
vozocrtx2,
ut,
us,
sozotaux,
e3v,area:mean where sea
vomecrty,
vt,
vs,
sometauy,
vovecrtz,
wt,
ws,
votkeavt,
votkeavm,
soleahtw,
ssh_ib,
botpres,
sshdyn,
Cd_oce,
Ce_oce,
Ch_oce,
theta_zt,
q_zt,
theta_zu,
q_zu,
ssq,
wspd_blk,
rho_air,
dt_skin,
qlw_oce,
qsb_oce,
qla_oce,
evap_oce,
qt_oce,
qsr_oce,
qns_oce,
qemp_oce,
taum_oce,
utau_oce,
vtau_oce,
