stash,stash_section,stash_item,lbproc,lblev,lbplev,blev,cmip6_short_name,mip_table,is_simple_mapping,n_stash_refs_in_expression,units,status,expression,source_file
m01s03i237,3,237,0,,,,huss,3hr,True,1,1,ok,m01s03i237[lbproc=0],HadGEM3_3hr_mappings.cfg
m01s08i223,8,223,0,,,0.05,mrsos,3hr,True,1,kg m-2,ok,"m01s08i223[blev=0.05, lbproc=0]",HadGEM3_3hr_mappings.cfg
m01s00i409,0,409,0,,,,ps,3hr,True,1,Pa,ok,m01s00i409[lbproc=0],HadGEM3_3hr_mappings.cfg
m01s03i236,3,236,0,,,,tas,3hr,True,1,K,ok,m01s03i236[lbproc=0],HadGEM3_3hr_mappings.cfg
m01s03i209,3,209,0,,,,uas,3hr,True,1,m s-1,ok,m01s03i209[lbproc=0],HadGEM3_3hr_mappings.cfg
m01s03i210,3,210,0,,,,vas,3hr,True,1,m s-1,ok,m01s03i210[lbproc=0],HadGEM3_3hr_mappings.cfg
m01s02i530,2,530,0,,3,,ec550aer,6hrLev,False,2,m-1,ok,"m01s02i530[lbplev=3, lbproc=0] + m01s02i540[lbplev=3, lbproc=0]",HadGEM3_6hrLev_mappings.cfg
m01s02i540,2,540,0,,3,,ec550aer,6hrLev,False,2,m-1,ok,"m01s02i530[lbplev=3, lbproc=0] + m01s02i540[lbplev=3, lbproc=0]",HadGEM3_6hrLev_mappings.cfg
m01s00i010,0,10,0,,,,hus,6hrLev,True,1,1,ok,m01s00i010[lbproc=0],HadGEM3_6hrLev_mappings.cfg
m01s00i408,0,408,0,,,,pfull,6hrLev,True,1,Pa,ok,m01s00i408[lbproc=0],HadGEM3_6hrLev_mappings.cfg
m01s00i409,0,409,0,,,,ps,6hrLev,True,1,Pa,ok,m01s00i409[lbproc=0],HadGEM3_6hrLev_mappings.cfg
m01s30i111,30,111,0,,,,ta,6hrLev,True,1,K,ok,m01s30i111[lbproc=0],HadGEM3_6hrLev_mappings.cfg
m01s00i002,0,2,0,,,,ua,6hrLev,True,1,m s-1,ok,m01s00i002[lbproc=0],HadGEM3_6hrLev_mappings.cfg
m01s00i003,0,3,0,,,,va,6hrLev,True,1,m s-1,ok,m01s00i003[lbproc=0],HadGEM3_6hrLev_mappings.cfg
m01s16i222,16,222,0,,,,psl,6hrPlevPt,True,1,Pa,ok,m01s16i222[lbproc=0],HadGEM3_6hrPlevPt_mappings.cfg
m01s30i455,30,455,0,,,P850,rv850,6hrPlevPt,True,1,s-1,embargoed,"m01s30i455[blev=P850, lbproc=0]",HadGEM3_6hrPlevPt_mappings.cfg
m01s30i294,30,294,0,,,PLEV3,ta,6hrPlevPt,False,2,K,ok,"m01s30i294[blev=PLEV3, lbproc=0]
/ m01s30i304[blev=PLEV3, lbproc=0]",HadGEM3_6hrPlevPt_mappings.cfg
m01s30i304,30,304,0,,,PLEV3,ta,6hrPlevPt,False,2,K,ok,"m01s30i294[blev=PLEV3, lbproc=0]
/ m01s30i304[blev=PLEV3, lbproc=0]",HadGEM3_6hrPlevPt_mappings.cfg
m01s08i225,8,225,0,,,0.05,tsl,6hrPlevPt,True,1,K,embargoed,"m01s08i225[blev=0.05, lbproc=0]",HadGEM3_6hrPlevPt_mappings.cfg
m01s30i201,30,201,0,,,PLEV7H,ua7h,6hrPlevPt,False,2,m s-1,ok,"m01s30i201[blev=PLEV7H, lbproc=0]
/ m01s30i301[blev=PLEV7H, lbproc=0]",HadGEM3_6hrPlevPt_mappings.cfg
m01s30i301,30,301,0,,,PLEV7H,ua7h,6hrPlevPt,False,2,m s-1,ok,"m01s30i201[blev=PLEV7H, lbproc=0]
/ m01s30i301[blev=PLEV7H, lbproc=0]",HadGEM3_6hrPlevPt_mappings.cfg
m01s30i201,30,201,0,,,PLEV3,ua,6hrPlevPt,False,2,m s-1,ok,"m01s30i201[blev=PLEV3, lbproc=0]
/ m01s30i301[blev=PLEV3, lbproc=0]",HadGEM3_6hrPlevPt_mappings.cfg
m01s30i301,30,301,0,,,PLEV3,ua,6hrPlevPt,False,2,m s-1,ok,"m01s30i201[blev=PLEV3, lbproc=0]
/ m01s30i301[blev=PLEV3, lbproc=0]",HadGEM3_6hrPlevPt_mappings.cfg
m01s03i209,3,209,0,,,,uas,6hrPlevPt,True,1,m s-1,ok,m01s03i209[lbproc=0],HadGEM3_6hrPlevPt_mappings.cfg
m01s30i202,30,202,0,,,PLEV7H,va7h,6hrPlevPt,False,2,m s-1,ok,"m01s30i202[blev=PLEV7H, lbproc=0]
/ m01s30i301[blev=PLEV7H, lbproc=0]",HadGEM3_6hrPlevPt_mappings.cfg
m01s30i301,30,301,0,,,PLEV7H,va7h,6hrPlevPt,False,2,m s-1,ok,"m01s30i202[blev=PLEV7H, lbproc=0]
/ m01s30i301[blev=PLEV7H, lbproc=0]",HadGEM3_6hrPlevPt_mappings.cfg
m01s30i202,30,202,0,,,PLEV3,va,6hrPlevPt,False,2,m s-1,ok,"m01s30i202[blev=PLEV3, lbproc=0]
/ m01s30i301[blev=PLEV3, lbproc=0]",HadGEM3_6hrPlevPt_mappings.cfg
m01s30i301,30,301,0,,,PLEV3,va,6hrPlevPt,False,2,m s-1,ok,"m01s30i202[blev=PLEV3, lbproc=0]
/ m01s30i301[blev=PLEV3, lbproc=0]",HadGEM3_6hrPlevPt_mappings.cfg
m01s03i210,3,210,0,,,,vas,6hrPlevPt,True,1,m s-1,ok,m01s03i210[lbproc=0],HadGEM3_6hrPlevPt_mappings.cfg
