stash,stash_section,stash_item,lbproc,lblev,lbplev,blev,cmip6_short_name,mip_table,is_simple_mapping,n_stash_refs_in_expression,units,status,expression,source_file
m01s03i237,3,237,0,,,,huss,3hr,True,1,1,ok,m01s03i237[lbproc=0],HadGEM3_3hr_mappings.cfg
m01s08i223,8,223,0,,,0.05,mrsos,3hr,True,1,kg m-2,ok,"m01s08i223[blev=0.05, lbproc=0]",HadGEM3_3hr_mappings.cfg
m01s00i409,0,409,0,,,,ps,3hr,True,1,Pa,ok,m01s00i409[lbproc=0],HadGEM3_3hr_mappings.cfg
m01s03i236,3,236,0,,,,tas,3hr,True,1,K,ok,m01s03i236[lbproc=0],HadGEM3_3hr_mappings.cfg
m01s03i209,3,209,0,,,,uas,3hr,True,1,m s-1,ok,m01s03i209[lbproc=0],HadGEM3_3hr_mappings.cfg
m01s03i210,3,210,0,,,,vas,3hr,True,1,m s-1,ok,m01s03i210[lbproc=0],HadGEM3_3hr_mappings.cfg
m01s00i010,0,10,0,,,,hus,6hrLev,True,1,1,ok,m01s00i010[lbproc=0],HadGEM3_6hrLev_mappings.cfg
m01s00i408,0,408,0,,,,pfull,6hrLev,True,1,Pa,ok,m01s00i408[lbproc=0],HadGEM3_6hrLev_mappings.cfg
m01s00i409,0,409,0,,,,ps,6hrLev,True,1,Pa,ok,m01s00i409[lbproc=0],HadGEM3_6hrLev_mappings.cfg
m01s30i111,30,111,0,,,,ta,6hrLev,True,1,K,ok,m01s30i111[lbproc=0],HadGEM3_6hrLev_mappings.cfg
m01s00i002,0,2,0,,,,ua,6hrLev,True,1,m s-1,ok,m01s00i002[lbproc=0],HadGEM3_6hrLev_mappings.cfg
m01s00i003,0,3,0,,,,va,6hrLev,True,1,m s-1,ok,m01s00i003[lbproc=0],HadGEM3_6hrLev_mappings.cfg
m01s16i222,16,222,0,,,,psl,6hrPlevPt,True,1,Pa,ok,m01s16i222[lbproc=0],HadGEM3_6hrPlevPt_mappings.cfg
m01s30i455,30,455,0,,,P850,rv850,6hrPlevPt,True,1,s-1,embargoed,"m01s30i455[blev=P850, lbproc=0]",HadGEM3_6hrPlevPt_mappings.cfg
m01s08i225,8,225,0,,,0.05,tsl,6hrPlevPt,True,1,K,embargoed,"m01s08i225[blev=0.05, lbproc=0]",HadGEM3_6hrPlevPt_mappings.cfg
m01s03i209,3,209,0,,,,uas,6hrPlevPt,True,1,m s-1,ok,m01s03i209[lbproc=0],HadGEM3_6hrPlevPt_mappings.cfg
m01s03i210,3,210,0,,,,vas,6hrPlevPt,True,1,m s-1,ok,m01s03i210[lbproc=0],HadGEM3_6hrPlevPt_mappings.cfg
m01s50i219,50,219,128,1,,,toz,AERday,True,1,1e-5 m,ok,"m01s50i219[lblev=1, lbproc=128]",HadGEM3_AERday_mappings.cfg
m01s03i236,3,236,128,,,,tas,AERhr,True,1,K,embargoed,m01s03i236[lbproc=128],HadGEM3_AERhr_mappings.cfg
m01s34i009,34,9,128,,,,ch4,AERmon,True,1,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_CH4)
* m01s34i009[lbproc=128]",HadGEM3_AERmon_mappings.cfg
m01s34i049,34,49,128,,,,n2o,AERmon,True,1,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O)
* m01s34i049[lbproc=128]",HadGEM3_AERmon_mappings.cfg
m01s34i001,34,1,128,,,,o3,AERmon,True,1,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3)
* m01s34i001[lbproc=128]",HadGEM3_AERmon_mappings.cfg
m01s00i002,0,2,128,,,,ua,AERmon,True,1,m s-1,ok,m01s00i002[lbproc=128],HadGEM3_AERmon_mappings.cfg
m01s00i003,0,3,128,,,,va,AERmon,True,1,m s-1,ok,m01s00i003[lbproc=128],HadGEM3_AERmon_mappings.cfg
m01s16i201,16,201,128,,,,zg,AERmon,True,1,m,ok,m01s16i201[lbproc=128],HadGEM3_AERmon_mappings.cfg
m01s03i230,3,230,8192,,,,sfcWindmax,APday,True,1,m s-1,ok,m01s03i230[lbproc=8192],HadGEM3_APday_mappings.cfg
m01s03i236,3,236,8192,,,,tasmax,APday,True,1,K,ok,m01s03i236[lbproc=8192],HadGEM3_APday_mappings.cfg
m01s03i236,3,236,4096,,,,tasmin,APday,True,1,K,ok,m01s03i236[lbproc=4096],HadGEM3_APday_mappings.cfg
m01s03i298,3,298,128,,,,sbl,Amon,True,1,kg m-2 s-1,embargoed,m01s03i298[lbproc=128],HadGEM3_Amon_mappings.cfg
m01s05i269,5,269,0,,,,ci,CF3hr,True,1,1.0,embargoed,m01s05i269[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i317,2,317,0,,,,clc,CF3hr,True,1,1,ok,m01s02i317[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i319,2,319,0,,,,clic,CF3hr,True,1,1,ok,m01s02i319[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i392,2,392,0,,,,clivi,CF3hr,True,1,kg m-2,embargoed,m01s02i392[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i204,2,204,0,,,,clt,CF3hr,True,1,1,embargoed,m01s02i204[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i318,2,318,0,,,,clwc,CF3hr,True,1,1,ok,m01s02i318[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s03i223,3,223,0,,,,evspsbl,CF3hr,True,1,kg m-2 s-1,embargoed,m01s03i223[lbproc=0],HadGEM3_CF3hr_mappings.cfg
